#i E KE PE T P
6.827630 -4.245024 1.659698 -5.904722 120.000000 0.046510
6.845504 -4.244131 1.659698 -5.903830 120.000000 0.046532
6.863377 -4.254305 1.659698 -5.914004 120.000000 0.046549
6.881250 -4.272529 1.659698 -5.932228 120.000000 0.046560
6.899124 -4.297532 1.659698 -5.957231 120.000000 0.046562
6.916997 -4.325585 1.659698 -5.985283 120.000000 0.046554
6.934871 -4.347610 1.659698 -6.007308 120.000000 0.046538
6.952744 -4.355682 1.659698 -6.015381 120.000000 0.046521
6.970617 -4.349149 1.659698 -6.008847 120.000000 0.046506
6.988491 -4.335556 1.659698 -5.995254 120.000000 0.046497
7.006364 -4.326480 1.659698 -5.986178 120.000000 0.046491
7.024237 -4.329991 1.659698 -5.989689 120.000000 0.046484
7.042111 -4.346228 1.659698 -6.005927 120.000000 0.046470
7.059984 -4.369571 1.659698 -6.029269 120.000000 0.046448
7.077858 -4.391748 1.659698 -6.051447 120.000000 0.046416
7.095731 -4.403520 1.659698 -6.063218 120.000000 0.046380
7.113604 -4.398204 1.659698 -6.057902 120.000000 0.046346
7.131478 -4.376523 1.659698 -6.036221 120.000000 0.046320
7.149351 -4.347910 1.659698 -6.007609 120.000000 0.046303
7.167224 -4.322621 1.659698 -5.982319 120.000000 0.046296
7.185098 -4.305257 1.659698 -5.964956 120.000000 0.046296
7.202971 -4.299744 1.659698 -5.959443 120.000000 0.046297
7.220845 -4.309328 1.659698 -5.969027 120.000000 0.046296
7.238718 -4.324781 1.659698 -5.984480 120.000000 0.046290
7.256591 -4.322842 1.659698 -5.982540 120.000000 0.046286
7.274465 -4.287380 1.659698 -5.947078 120.000000 0.046295
7.292338 -4.229796 1.659698 -5.889494 120.000000 0.046325
7.310211 -4.183442 1.659698 -5.843141 120.000000 0.046371
7.328085 -4.167246 1.659698 -5.826944 120.000000 0.046424
7.345958 -4.175127 1.659698 -5.834826 120.000000 0.046474
7.363832 -4.194725 1.659698 -5.854424 120.000000 0.046518
7.381705 -4.213344 1.659698 -5.873042 120.000000 0.046555
7.399578 -4.223619 1.659698 -5.883317 120.000000 0.046589
7.417452 -4.226345 1.659698 -5.886043 120.000000 0.046621
